Date,Event,Country,Unique Users
2019-01,All Events - Unique,Congo,125
2019-01,All Events - Unique,Ethiopia,550
2019-01,All Events - Unique,Myanmar,433
2019-01,All Events - Unique,South Sudan,240
2019-01,All Events - Unique,Sudan,18
2019-01,All Events - Unique,Syria,9
2019-01,All Events - Unique,Ukraine,335
2019-01,All Events - Unique,Venezuela,35
2019-01,All Events - Unique,Yemen,854
2019-02,All Events - Unique,Afghanistan,243
2019-02,All Events - Unique,Congo,306
2019-02,All Events - Unique,Ethiopia,526
2019-02,All Events - Unique,Myanmar,310
2019-02,All Events - Unique,South Sudan,198
2019-02,All Events - Unique,Sudan,17
2019-02,All Events - Unique,Syria,10
2019-02,All Events - Unique,Ukraine,340
2019-02,All Events - Unique,Venezuela,71
2019-02,All Events - Unique,Yemen,744
2019-03,All Events - Unique,Afghanistan,311
2019-03,All Events - Unique,Congo,281
2019-03,All Events - Unique,Ethiopia,623
2019-03,All Events - Unique,Myanmar,397
2019-03,All Events - Unique,South Sudan,204
2019-03,All Events - Unique,Sudan,20
2019-03,All Events - Unique,Syria,19
2019-03,All Events - Unique,Ukraine,312
2019-03,All Events - Unique,Venezuela,39
2019-03,All Events - Unique,Yemen,694
2019-04,All Events - Unique,Afghanistan,302
2019-04,All Events - Unique,Congo,281
2019-04,All Events - Unique,Ethiopia,706
2019-04,All Events - Unique,Myanmar,303
2019-04,All Events - Unique,South Sudan,204
2019-04,All Events - Unique,Sudan,22
2019-04,All Events - Unique,Syria,10
2019-04,All Events - Unique,Ukraine,332
2019-04,All Events - Unique,Venezuela,53
2019-04,All Events - Unique,Yemen,749
2019-05,All Events - Unique,Afghanistan,314
2019-05,All Events - Unique,Congo,360
2019-05,All Events - Unique,Ethiopia,674
2019-05,All Events - Unique,Myanmar,439
2019-05,All Events - Unique,South Sudan,159
2019-05,All Events - Unique,Sudan,18
2019-05,All Events - Unique,Syria,14
2019-05,All Events - Unique,Ukraine,331
2019-05,All Events - Unique,Venezuela,39
2019-05,All Events - Unique,Yemen,611
2019-06,All Events - Unique,Afghanistan,359
2019-06,All Events - Unique,Congo,389
2019-06,All Events - Unique,Ethiopia,440
2019-06,All Events - Unique,Myanmar,434
2019-06,All Events - Unique,South Sudan,238
2019-06,All Events - Unique,Sudan,15
2019-06,All Events - Unique,Syria,9
2019-06,All Events - Unique,Ukraine,279
2019-06,All Events - Unique,Venezuela,81
2019-06,All Events - Unique,Yemen,762
2019-07,All Events - Unique,Afghanistan,369
2019-07,All Events - Unique,Congo,491
2019-07,All Events - Unique,Ethiopia,742
2019-07,All Events - Unique,Myanmar,514
2019-07,All Events - Unique,South Sudan,218
2019-07,All Events - Unique,Sudan,19
2019-07,All Events - Unique,Syria,15
2019-07,All Events - Unique,Ukraine,312
2019-07,All Events - Unique,Venezuela,50
2019-07,All Events - Unique,Yemen,754
2019-08,All Events - Unique,Afghanistan,305
2019-08,All Events - Unique,Congo,435
2019-08,All Events - Unique,Ethiopia,599
2019-08,All Events - Unique,Myanmar,607
2019-08,All Events - Unique,South Sudan,202
2019-08,All Events - Unique,Sudan,17
2019-08,All Events - Unique,Syria,16
2019-08,All Events - Unique,Ukraine,314
2019-08,All Events - Unique,Venezuela,68
2019-08,All Events - Unique,Yemen,735
2019-09,All Events - Unique,Afghanistan,317
2019-09,All Events - Unique,Congo,431
2019-09,All Events - Unique,Ethiopia,506
2019-09,All Events - Unique,Myanmar,445
2019-09,All Events - Unique,South Sudan,240
2019-09,All Events - Unique,Sudan,19
2019-09,All Events - Unique,Syria,20
2019-09,All Events - Unique,Ukraine,360
2019-09,All Events - Unique,Venezuela,97
2019-09,All Events - Unique,Yemen,691
2019-10,All Events - Unique,Afghanistan,378
2019-10,All Events - Unique,Congo,378
2019-10,All Events - Unique,Ethiopia,570
2019-10,All Events - Unique,Myanmar,399
2019-10,All Events - Unique,South Sudan,321
2019-10,All Events - Unique,Sudan,28
2019-10,All Events - Unique,Syria,15
2019-10,All Events - Unique,Ukraine,375
2019-10,All Events - Unique,Venezuela,192
