Date,Event,Country,Unique Users
2020-10,All Events - Unique,Ethiopia,1266
2020-10,All Events - Unique,Nigeria,1892
2020-10,All Events - Unique,Somalia,695
2020-10,All Events - Unique,South Sudan,264
2020-10,All Events - Unique,Sudan,88
2020-10,All Events - Unique,Syria,4
2020-10,All Events - Unique,Ukraine,582
2020-10,All Events - Unique,Yemen,1141
2020-11,All Events - Unique,Afghanistan,405
2020-11,All Events - Unique,Central African Republic,76
2020-11,All Events - Unique,Ethiopia,1539
2020-11,All Events - Unique,Nigeria,2332
2020-11,All Events - Unique,Somalia,702
2020-11,All Events - Unique,South Sudan,323
2020-11,All Events - Unique,Sudan,107
2020-11,All Events - Unique,Syria,13
2020-11,All Events - Unique,Ukraine,653
2020-11,All Events - Unique,Yemen,995
2020-12,All Events - Unique,Afghanistan,519
2020-12,All Events - Unique,Central African Republic,89
2020-12,All Events - Unique,Ethiopia,1599
2020-12,All Events - Unique,Nigeria,2176
2020-12,All Events - Unique,Somalia,690
2020-12,All Events - Unique,South Sudan,221
2020-12,All Events - Unique,Sudan,57
2020-12,All Events - Unique,Syria,3
2020-12,All Events - Unique,Ukraine,549
2020-12,All Events - Unique,Yemen,989
2021-01,All Events - Unique,Afghanistan,574
2021-01,All Events - Unique,Central African Republic,116
2021-01,All Events - Unique,Ethiopia,1468
2021-01,All Events - Unique,Nigeria,1704
2021-01,All Events - Unique,Somalia,732
2021-01,All Events - Unique,South Sudan,345
2021-01,All Events - Unique,Sudan,123
2021-01,All Events - Unique,Syria,8
2021-01,All Events - Unique,Ukraine,492
2021-01,All Events - Unique,Yemen,929
2021-02,All Events - Unique,Afghanistan,439
2021-02,All Events - Unique,Central African Republic,139
2021-02,All Events - Unique,Ethiopia,1232
2021-02,All Events - Unique,Nigeria,1982
2021-02,All Events - Unique,Somalia,653
2021-02,All Events - Unique,South Sudan,393
2021-02,All Events - Unique,Sudan,705
2021-02,All Events - Unique,Syria,4
2021-02,All Events - Unique,Ukraine,483
2021-02,All Events - Unique,Yemen,1054
2021-03,All Events - Unique,Afghanistan,431
2021-03,All Events - Unique,Central African Republic,133
